index,CODE,COMM,SPEC
649,649,CUSK-EELS INCLUDES BROTULIDAE F.,OPHIDIIDAE
650,650,FAWN CUSK EEL,LEPOPHIDIUM PROFUNDORUM
652,652,PERCOIDEI F.,PERCOIDEI S.O.
656,656,SERRIVOMER SP.,SERRIVOMER SP.
657,657,CALLIONYMUS SP.,CALLIONYMUS SP.
660,660,CUSK EELS (NS),OPHIDIOIDEI S.O.
662,662,SPINY EELS (NS),NOTACANTHIDAE F.
664,664,SEA BASSES,MYCTEROPERCA SP.
665,665,"DRAGONFISHES,SMOOTH",MELANOSTOMIATIDAE (STOMIATIDAE) F.
677,677,EPIGONUS DENTICULATUS,EPIGONUS DENTICULATUS
681,681,SCOPELARCHUS ANALIS,SCOPELARCHUS ANALIS
684,684,VINCIGUERRIA NIMBARIA,VINCIGUERRIA NIMBARIA
694,694,BATFISHES,OGCOCEPHALIDAE F.
697,697,CARDINAL FISHES,APOGONIDAE F.
700,700,"HATCHETFISH, ATLANTIC SILVER",ARGYROPELECUS ACULEATUS
701,701,BUTTERFISH,PEPRILUS TRIACANTHUS
702,702,NORTHERN PIPEFISH,SYNGNATHUS FUSCUS
704,704,AMERICAN JOHN DORY,ZENOPSIS OCELLATA
705,705,ARGYROPELECUS GIGAS,ARGYROPELECUS GIGAS
708,708,"HATCHETFISH,SLOPE",POLYIPNUS CLARUS
709,709,TRANSPARENT HATCHETFISH,STERNOPTYX DIAPHANA
710,710,LONGNOSE LANCETFISH,ALEPISAURUS FEROX
711,711,SHORT BARRACUDINA,PARALEPIS ATLANTICA
712,712,WHITE BARRACUDINA,NOTOLEPIS RISSOI
713,713,"BARRACUDINA,UNIDENTIFIED",PARALEPIDIDAE F.
714,714,SIMONYI'S FROSTFISH,BENTHODESMUS SIMONYI
716,716,STRAIGHTLINE DRAGONFISH,BOROSTOMIAS ANTARCTICUS
717,717,TORPEDO DRAGONFISH,GRAMMATOSTOMIAS DENTATUS
720,720,"ATLANTIC SAURY,NEEDLEFISH",SCOMBERESOX SAURUS
724,724,BAIRDS SMOOTHEAD,ALEPOCEPHALUS BAIRDII
725,725,ATLANTIC GYMNAST,XENODERMICHTHYS COPEI
728,728,SETARCHES GUENTHERI,SETARCHES GUENTHERI
729,729,OMOSUDIS LOWEI,OMOSUDIS LOWEI
730,730,OCEAN SUNFISH,MOLA MOLA
731,731,SHORTNOSE LANCETFISH,ALEPISAURUS BREVIROSTRIS
732,732,DAGGERTOOTH,ANOTOPTERUS PHARAO
739,739,SHORTSPINE TAPIRFISH,POLYACANTHONOTUS RISSOANUS
740,740,SPINY EEL,NOTACANTHUS CHEMNITZII
741,741,UNIDENTIFIED HATCHETFISH,STERNOPTYCHIDAE F.
742,742,ATLANTIC BATFISH,DIBRANCHUS ATLANTICUS
743,743,AMERICAN BARRELFISH,HYPEROGLYPHE PERCIFORMIS
744,744,STOUT BEARD FISH,POLYMIXIA NOBILIS
745,745,ANGLEMOUTH,GONOSTOMATIDAE F. (NS)
746,746,NORTHERN PUFFER,SPHOEROIDES MACULATUS
749,749,SLICKHEAD,CONOCARA SALMONEA
750,750,CARDINALFISH,HOWELLA BRODIEI
755,755,ANGLEMOUTH (NS),CYCLOTHONE SP.
756,756,DRAGONFISH UNIDENTIFIED,STOMIAS SP.
758,758,DOFLEINS LANTERNFISH,LOBIANCHIA DOFLEINI
759,759,PIPEFISH UNIDEN.,SYNGNATHUS SP.
768,768,ONEIRODES SP.,ONEIRODES SP.
770,770,ATLANTIC SILVERSIDE,MENIDIA MENIDIA
771,771,BEARDFISH,POLYMIXIA LOWEI
774,774,OGREFISH,ANOPLOGASTER CORNUTA
775,775,ALFONSIN A CASTA LARGA,BERYX DECADACTYLUS
777,777,THORNY TINSELFISH,GRAMMICOLEPIS BRACHIUSCULUS
779,779,LINED SEAHORSE,HIPPOCAMPUS ERECTUS
784,784,BLACK SCABBARDFISH,APHANOPUS CARBO
785,785,SILVER-RAG,ARIOMMA BONDI
795,795,BEANS BLUEBACK,SCOPELOGADUS BEANII
798,798,MELAMPHAES MICROPS,MELAMPHAES MICROPS
800,800,POROMITRA CRASSICEPS,POROMITRA CRASSICEPS
802,802,BERYCOID FISH,BERYCIFORMES O.
805,805,TONGUEFISH,SYMPHURUS SP.
811,811,MYCTOPHIFORMES,MYCTOPHIFORMES O.
814,814,BATHYSAURUS FEROX,BATHYSAURUS FEROX
816,816,TONGUE FISH,SYMPHURUS DIOMEDEANUS
819,819,LOOSEJAWS (NS),MALACOSTEIDAE F.
820,820,CUBICEPS PAUCIRADIATUS,CUBICEPS PAUCIRADIATUS
827,827,PUFFER,SPHOEROIDES SP.
833,833,"LIZARDFISH,LARGESCALE",SAURIDA BRASILIENSIS
844,844,"BATFISH,SPINY",HALIEUTICHTHYS ACULEATUS
845,845,EELPOUT (NS),LYCODES EUDIPLEUROSTICTUS
859,859,MELANOSTOMIAS SP.,MELANOSTOMIAS SP.
862,862,DICROLENE INTRONIGER,DICROLENE INTRONIGER
863,863,BATHYPTEROIS QUADRIFILIS,BATHYPTEROIS QUADRIFILIS
865,865,ALDROVANDIA PHALACRA,ALDROVANDIA PHALACRA
866,866,SPOTTED TINSELFISH,XENOLEPIDICHTHYS DALGLEISHI
868,868,SEASNAIL,PARALIPARIS CALIDUS
869,869,SEASNAIL,PARALIPARIS GARMANI
878,878,EPIGONUS SP.,EPIGONUS SP.
880,880,"HOOKEAR SCULPIN,ATL.",ARTEDIELLUS ATLANTICUS
883,883,GONOSTOMA BATHYPHILUM,GONOSTOMA BATHYPHILUM
887,887,CHIASMODON BOLANGERI,CHIASMODON BOLANGERI
891,891,LAMPRIFORMES,LAMPRIFORMES
900,900,SEALS (NS),PHOCIDAE F.
901,901,ECTREPOSEBASTES IMUS,ECTREPOSEBASTES IMUS
909,909,CHIASMODON SP.,CHIASMODON SP.
914,914,HOLTBYRNIA ANOMALA,HOLTBYRNIA ANOMALA
924,924,SCOTIAN SNAILFISH,CAREPROCTUS RANULA
928,928,ARGYROPELECUS SP.,ARGYROPELECUS SP.
935,935,DIPLOPHOS MADERENSIS,DIPLOPHOS MADERENSIS
942,942,POLYMETME CORYTHAEOLA,POLYMETME CORYTHAEOLA
946,946,BLENNIES (NS),LUMPENUS  SP.
947,947,APRISTURUS LAURUSSONI,APRISTURUS LAURUSSONI
949,949,"DRAGONFISH,BIGHEAD (NS)",BOROSTOMIAS  SP.
963,963,SMOOTHHEAD,ROULEINA MADERENSIS
967,967,"SKATE,ROSETTE",RAJA GARMANI
979,979,ALEPOCEPHALUS SP.,ALEPOCEPHALUS SP.
983,983,APRISTURUS SP.,APRISTURUS SP.
1006,1006,ORANGE ROUGHY,HOPLOSTETHUS ATLANTICUS
1007,1007,BATHYRAJA SP,BATHYRAJA SP
1010,1010,HALOSAURUS GUENTHERI,HALOSAURUS GUENTHERI
1012,1012,BASSOGIGAS GILLI,BASSOGIGAS GILLI
1013,1013,NEZUMIA SP.,NEZUMIA SP.
1017,1017,ROULEINA ATTRITA,ROULEINA ATTRITA
1019,1019,ILYOPHIS BRUNNEUS,ILYOPHIS BRUNNEUS
1024,1024,ILYOPHIS SP,ILYOPHIS SP
1025,1025,VENEFICA PROCERA,VENEFICA PROCERA
1028,1028,HALOSAUROPSIS MACROCHIR,HALOSAUROPSIS MACROCHIR
1029,1029,ALDROVANDIA SP,ALDROVANDIA SP
1030,1030,ALDROVANDIA AFFINIS,ALDROVANDIA AFFINIS
1032,1032,BATHYTROCTES MICROLEPIS,BATHYTROCTES MICROLEPIS
1037,1037,BATHYPTEROIS SP.,BATHYPTEROIS SP.
1038,1038,BATHYPTEROIS GRALLATOR,BATHYPTEROIS GRALLATOR
1039,1039,BATHYPTEROIS LONGIPES,BATHYPTEROIS LONGIPES
1041,1041,LAEMONEMA SP.,LAEMONEMA SP.
1045,1045,BATHYPTEROIS PHENAX,BATHYPTEROIS PHENAX
1050,1050,BLACK OREO,NEOCYTTUS HELGAE
1052,1052,ROULEINA SP.,ROULEINA SP.
1054,1054,DUCKBILL BARRACUDINA,PARALEPIS ATLANTICA KROYER
1056,1056,STEREOMASTIS SCULPTA,STEREOMASTIS SCULPTA
1060,1060,CORYPHAENOIDES CARAPINUS,CORYPHAENOIDES CARAPINUS
1064,1064,CORYPHAENOIDES SP,CORYPHAENOIDES SP
1071,1071,CHAIN CATSHARK,SCYLIORHINUS RETIFER
1072,1072,CATAETYX LATICEPS,CATAETYX LATICEPS
1076,1076,LAEMONEMA BARBATULUM,LAEMONEMA BARBATULUM
1091,1091,UNIDENTIFIED SPECIES,UNIDENTIFIED A
1092,1092,UNIDENTIFIED SPECIES,UNIDENTIFIED B
1093,1093,UNIDENTIFIED SPECIES,UNIDENTIFIED C
1094,1094,UNIDENTIFIED SPECIES,UNIDENTIFIED D
1095,1095,UNIDENTIFIED SPECIES,UNIDENTIFIED E
1100,1100,EGGS UNID.,EGGS UNID.
1191,1191,Skate;LITTLE OR WINTER; Unspecified,LEUCORAJA SP.
1199,1199,PURSE BARNDOOR SKATE,PURSE BARNDOOR SKATE
1200,1200,FISH EGGS-UNIDENTIFIED,FISH EGGS-UNIDENTIFIED
1201,1201,PURSE THORNY SKATE,PURSE THORNY SKATE
1202,1202,PURSE SMOOTH SKATE,PURSE SMOOTH SKATE
1203,1203,PURSE LITTLE SKATE,PURSE LITTLE SKATE
1204,1204,PURSE WINTER SKATE,PURSE WINTER SKATE
1218,1218,"SEA RAVEN, EGGS","HEMITRIPTERUS AMERICANUS, EGGS"
1224,1224,SKATE UNID. EGGS,RAJA EGGS
1228,1228,SCULPIN EGGS UNID.,MYOXOCEPHALUS EGGS
1264,1264,GHOST CATSHARK,APRISTURUS MANIS
1269,1269,VAILLANTS GRENADIER,BATHYGADUS MELANOBRANCHUS
1270,1270,SMOOTH GRENADIER,NEZUMIA AEQUALIS
1274,1274,LEPIDION SCHMIDTI,LEPIDION SCHMIDTI
1279,1279,TREMASTER MIRABILIS,TREMASTER MIRABILIS
1280,1280,URASTERIAS LINCKI,URASTERIAS LINCKI
1281,1281,ARISTAEPSIS EDWARDSINANA,ARISTAEPSIS EDWARDSINANA
1282,1282,LEBBEUS MICROCEROS,LEBBEUS MICROCEROS
1283,1283,SERGIA ROBUSTA,SERGIA ROBUSTA
1312,1312,HIPPOLYTID EGGS,HYPPOLYTID EGGS
1500,1500,MOLLUSC EGGS UNID.,MOLLUSCA EGGS
1510,1510,WHELK EGGS (NS),BUCCINIDAE EGGS
1511,1511,SNAIL/SLUG EGGS,GASTEROPODA EGGS
1530,1530,SQUID EGGS,CEPHALOPODA UNID. EGGS
1600,1600,INVERTEBRATE EGGS,INVERTEBRATE EGGS
1701,1701,MARINE INVERTEBRATES (NS),MARINE INVERTEBRATA (NS)
1800,1800,PROTOCHORDATA SP.,PROTOCHORDATA SP.
1810,1810,TUNICATA S.P.,TUNICATA S.P.
1811,1811,ASCIDIACEA C. ,ASCIDIACEA C.
1812,1812,BOLTENIA OVIFERA,BOLTENIA OVIFERA
1815,1815,MOLGULIDAE F.,MOLGULIDAE F.
1821,1821,SEA SQUIRTS,ASCIDIA SP.
1822,1822,DENDRODOA SP.,DENDRODOA SP.
1823,1823,SEA POTATO,BOLTENIA SP.
1826,1826,SEA GRAPES,MOLGULA MANHATTENSIS
1827,1827,SEA PEACH,HALOCYNTHIA PYRIFORMIS
1840,1840,SALPIDAE F.,SALPIDAE F.
1900,1900,BRYOZOANS P.,BRYOZOANS P.
1901,1901,LEMONWEED,FLUSTRA FOLIACEA
1920,1920,BRYOZOANS ECTOPROCTA,BRYOZOANS ECTOPROCTA P.
1930,1930,LAMPSHELLS,BRYOZOANS BRACHIOPODA P.
1932,1932,TEREBRATULINA SP.,TEREBRATULINA SP.
2000,2000,CRUSTACEA C.,CRUSTACEA C.
2001,2001,CRUSTACEA LARVAE,CRUSTACEA LARVAE
2056,2056,ARCOSCALPELLUM MICHELOTTIANUM,ARCOSCALPELLUM MICHELOTTIANUM
2062,2062,CHIRONA HAMERI,CHIRONA HAMERI
2100,2100,SHRIMPS,DECAPODA O.
2200,2200,PANDALIDAE F.,PANDALIDAE F.
2210,2210,PANDALUS SP.,PANDALUS SP.
2211,2211,PANDALUS BOREALIS,PANDALUS BOREALIS
2212,2212,PANDALUS MONTAGUI,PANDALUS MONTAGUI
2213,2213,ATLANTOPANDALUS PROPINQUUS,ATLANTOPANDALUS PROPINQVUS
2214,2214,DICHELOPANDALUS LEPTOCERUS,DICHELOPANDALUS LEPTOCERUS
2215,2215,DICHELOPANDALUS SP.,DICHELOPANDALUS SP.
2216,2216,PLESIONIKA SP.,PLESIONIKA SP. 
2217,2217,PLESIONIKA MARTIA,PLESIONIKA MARTIA
2219,2219,PASIPHAEIDAE F.,PASIPHAEIDAE F.
2220,2220,PASIPHAEA TARDA,PASIPHAEA TARDA
2221,2221,PASIPHAEA MULTIDENTATA,PASIPHAEA MULTIDENTATA
2222,2222,PARAPASIPHAE SULCATIFRONS,PARAPASIPHAE SULCATIFRONS
2223,2223,SERGESTES ARCTICUS,SERGESTES ARCTICUS
2310,2310,SPIRONTOCARIS,SPIRONTOCARIS SP.
2311,2311,SPIRONTOCARIS FABRICI,SPIRONTOCARIS FABRICII (OBSOLETE)
2312,2312,LEBBEUS POLARIS,LEBBEUS POLARIS
2313,2313,SPIRONTOCARIS LILJEBORGII,SPIRONTOCARIS LILJEBORGII
2315,2315,SPIRONTOCARIS PHIPPSII,SPIRONTOCARIS PHIPPSII
2316,2316,SPIRONTOCARIS SPINUS,SPIRONTOCARIS SPINUS
2319,2319,LEBBEUS GROENLANDICUS,LEBBEUS GROENLANDICUS
2320,2320,LEBBEUS SP.,LEBBEUS SP.
